"eBird.English.Name.2023","eBird.Scientific.Name.2023","eBird.India.Name.2023"
"Black-headed Mountain Finch","Leucosticte brandti","Black-headed Mountain-Finch (Brandt's Mountain Finch)"
"Desert Finch","Rhodospiza obsoleta","Desert Finch"
"Yellow-breasted Greenfinch","Chloris spinoides","Yellow-breasted Greenfinch"
"Black-headed Greenfinch","Chloris ambigua","Black-headed Greenfinch"
"Twite","Linaria flavirostris","Twite"
"Eurasian Linnet","Linaria cannabina","Eurasian Linnet"
"Red Crossbill","Loxia curvirostra","Red Crossbill"
"European Goldfinch","Carduelis carduelis","European Goldfinch"
"Fire-fronted Serin","Serinus pusillus","Fire-fronted Serin"
"Tibetan Serin","Spinus thibetanus","Tibetan Serin"
"Eurasian Siskin","Spinus spinus","Eurasian Siskin"
"finch sp.","Fringillidae sp.","finch sp."
"Lapland Longspur","Calcarius lapponicus","Lapland Longspur"
"Crested Bunting","Emberiza lathami","Crested Bunting"
"Black-headed Bunting","Emberiza melanocephala","Black-headed Bunting"
"Red-headed Bunting","Emberiza bruniceps","Red-headed Bunting"
"Black-headed/Red-headed Bunting","Emberiza melanocephala/bruniceps","Black-headed/Red-headed Bunting"
"Chestnut-eared Bunting","Emberiza fucata","Chestnut-eared Bunting"
"Rock Bunting","Emberiza cia","Rock Bunting"
"Godlewski's Bunting","Emberiza godlewskii","Godlewski's Bunting"
"Meadow Bunting","Emberiza cioides","Meadow Bunting"
"White-capped Bunting","Emberiza stewarti","White-capped Bunting (Chestnut-breasted Bunting)"
"Yellowhammer","Emberiza citrinella","Yellowhammer"
"Pine Bunting","Emberiza leucocephalos","Pine Bunting"
"Yellowhammer x Pine Bunting (hybrid)","Emberiza citrinella x leucocephalos","Yellowhammer x Pine Bunting (hybrid)"
"Gray-necked Bunting","Emberiza buchanani","Grey-necked Bunting (Grey-hooded Bunting)"
"Ortolan Bunting","Emberiza hortulana","Ortolan Bunting"
"Gray-necked/Ortolan Bunting","Emberiza buchanani/hortulana","Grey-necked/Ortolan Bunting"
"Striolated Bunting","Emberiza striolata","Striolated Bunting (House Bunting)"
"Reed Bunting","Emberiza schoeniclus","Reed Bunting"
"Yellow-breasted Bunting","Emberiza aureola","Yellow-breasted Bunting"
"Little Bunting","Emberiza pusilla","Little Bunting"
"Rustic Bunting","Emberiza rustica","Rustic Bunting"
"Black-faced Bunting","Emberiza spodocephala","Black-faced Bunting"
"Black-faced/Masked Bunting","Emberiza spodocephala/personata","Black-faced/Masked Bunting"
"Chestnut Bunting","Emberiza rutila","Chestnut Bunting"
"Yellow-browed Bunting","Emberiza chrysophrys","Yellow-browed Bunting"
"Tristram's Bunting","Emberiza tristrami","Tristram's Bunting"
"Emberiza sp.","Emberiza sp.","Emberiza bunting sp."
"Passerina sp.","Passerina sp.","Passerina bunting sp."
"passerine sp.","Passeriformes sp.","passerine sp."
"bird sp.","Aves sp.","bird sp."
